seasonName,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
2020-2_Summer,28421,430909,392977,392977,108612
2020-3_Fall,13899,161174,135411,135411,31219
2021-0_Winter,22301,213694,164900,164900,29913
2021-1_Spring,32178,366515,319590,319590,81978
2021-2_Summer,33223,364619,314176,314176,97680
2021-3_Fall,24228,273399,238035,238035,93463
2022-0_Winter,20639,229412,202848,202848,77394
2022-1_Spring,26867,299709,273294,273294,95750
2022-2_Summer,22197,291479,273929,273929,121172
2022-3_Fall,18255,231407,216417,216417,86103
2023-0_Winter,23865,285123,258507,258507,101388
2023-1_Spring,56365,585325,534174,534174,109034
